headline_id,round_no,created_at,in_game_submitted_at,nickname,is_archive_seed,llm_status,story_direction_or_seed_text,published_headline,dice_roll,selected_band,ai_plausibility_band,plausibility_rationale,band1_headline,band2_headline,band3_headline,band4_headline,band5_headline,planet_1,planet_2,planet_3,planet_rationales,linked_headlines,baseline_score,plausibility_score,self_story_connection_level,self_story_score,others_story_connection_level,others_story_score,planet_bonus_score,total_headline_score,llm_score,llm_model,llm_input_tokens,llm_output_tokens
2187ad0a-1ece-4bc7-81e5-d3dd8c6091c4,1,2026-04-08 17:14:50.279887+00,2022-01-01 00:00:00+00,Archive,t,seed,Francisco Partners scoops up bulk of IBM's Watson Health unit,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
9b530642-d30d-423c-8ba4-e528608922a9,1,2026-04-08 17:14:55.144158+00,2022-02-01 00:00:00+00,Archive,t,seed,DeepMind's AlphaCode AI writes code at a competitive level,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
53273012-5c7b-47a6-a916-905ef1bbfa59,1,2026-04-08 17:15:00.008891+00,2022-03-01 00:00:00+00,Archive,t,seed,"No, Google's AI is not sentient: Tech company shuts down engineer's claim",,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
cd372d6c-72a4-4366-b60f-a4527cfbd463,1,2026-04-08 17:15:04.872784+00,2022-04-01 00:00:00+00,Archive,t,seed,Deepfake Zelenskyy surrender video is the 'first intentionally used' in Ukraine war,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
1ff3512c-5951-4542-8473-be4d61d14075,1,2026-04-08 17:15:09.736629+00,2022-06-01 00:00:00+00,Archive,t,seed,Facebook's AI translator now works with 200 languages,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
86939e2c-7e87-43c5-8893-3f4bfc0c4a6f,1,2026-04-08 17:15:14.601205+00,2022-07-01 00:00:00+00,Archive,t,seed,The entire protein universe: AI predicts shape of nearly every known protein,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
af101765-e884-4f42-854e-61999708dcf4,1,2026-04-08 17:15:19.468682+00,2022-08-01 00:00:00+00,Archive,t,seed,"Artificial intelligence artwork wins 1st place at Colorado State Fair, causing controversy",,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
c5b15cac-7a28-4eb6-8844-9853b9070ccf,1,2026-04-08 17:15:24.328907+00,2022-09-01 00:00:00+00,Archive,t,seed,Plastic-eating enzyme could eliminate billions of tons of landfill waste,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
92c7dd28-ac6d-4f7a-a380-d7e9d0932a07,1,2026-04-08 17:15:29.193439+00,2022-11-01 00:00:00+00,Archive,t,seed,"Argo AI, driverless startup backed by Ford and VW, is shutting down",,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
eac9e399-4861-4422-82e3-1b6d3d14055e,1,2026-04-08 17:15:34.058955+00,2023-01-01 00:00:00+00,Archive,t,seed,ChatGPT sets record for fastest-growing user base,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
11e9dabe-d1ab-4362-993d-ef01a6f2e147,1,2026-04-08 17:15:38.922177+00,2023-02-01 00:00:00+00,Archive,t,seed,Alphabet shares dive after Google AI chatbot Bard flubs answer in ad,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
09c2695b-df45-4b8f-a778-f9607486f4ec,1,2026-04-08 17:15:43.786832+00,2023-03-01 00:00:00+00,Archive,t,seed,Goldman Sachs: 300 million jobs could be affected by AI,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
3ae5c764-b753-4121-9c9b-5217262c286e,1,2026-04-08 17:15:48.651966+00,2023-04-01 00:00:00+00,Archive,t,seed,"Fake photos of Pope Francis in a puffer jacket go viral, highlighting the power and peril of AI",,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
bbc19450-c4e6-4c4b-94f9-18c36aa59c47,1,2026-04-08 17:15:53.517039+00,2023-05-01 00:00:00+00,Archive,t,seed,"Meta's LLaMA AI model leaks, sparking open-source innovation",,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
a8e4f9fc-0b15-4fe2-a9ae-1fc007431cb8,1,2026-04-08 17:15:58.382383+00,2023-06-01 00:00:00+00,Archive,t,seed,AI chatbot company Replika restores erotic roleplay for some users,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
79010057-087c-4c3f-8964-c3677cf4aaf8,1,2026-04-08 17:16:03.247075+00,2023-08-01 00:00:00+00,Archive,t,seed,OpenAI gives ChatGPT a voice for verbal conversations,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
1e36805b-605b-4560-a612-ced2db8400ca,1,2026-04-08 17:16:08.110944+00,2023-10-01 00:00:00+00,Archive,t,seed,AI-generated 'explosion at the Pentagon' image briefly spooks markets,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
1d9b3f09-ecbf-461c-9e49-0c7a9caf5fe8,1,2026-04-08 17:16:12.975059+00,2023-11-01 00:00:00+00,Archive,t,seed,"OpenAI's board abruptly fires CEO Sam Altman, shocking industry and spurring revolt",,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
edd7fbf3-7d35-4ee8-9c40-e73b935f4ee5,1,2026-04-08 17:16:17.838648+00,2024-01-01 00:00:00+00,Archive,t,seed,"Google announces AI features in Gmail, Docs, and more to rival Microsoft",,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
328e0b1b-03fc-4644-9a92-8cb91023dcea,1,2026-04-08 17:16:22.703462+00,2024-03-01 00:00:00+00,Archive,t,seed,Italy's privacy watchdog bans ChatGPT over data breach concerns,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
9b1642fe-85a3-478e-abf7-babd81be16b7,1,2026-04-08 17:16:27.566667+00,2024-04-01 00:00:00+00,Archive,t,seed,"AI leaders warn that advanced AI poses ""extinction"" risk to humanity",,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
a40a5b8c-0858-46a6-90df-74a0a0f8cf7e,1,2026-04-08 17:16:32.431596+00,2024-05-01 00:00:00+00,Archive,t,seed,Hollywood actors secure new contract with AI safeguards after strike,,,,3,,,,,,,,,,[],[],,,,,,,,,,,,
